userID,Title,Likes,Dislikes,Ratio,Mean
user_19,#TeamTrees,559977,4593,121.919660352711,0.01667712846338910
user_70,$uicideboy$,222386,400,555.965,0.07611678769646590
user_54,(G)I-DLE (여자)아이들 (Official YouTube Channel),52425532,631342,83.0382455151091,0.011352574004804200
user_59,10 Downing Street,857312,8691,98.64365435508,0.013489632277090900
user_75,10 News First,1017603,104293,9.75715532202545,0.001317209881680950
user_0,10 Tampa Bay,179359,828,216.617149758454,0.029645327834172100
user_40,100 Thieves,2009211,24663,81.4666099014718,0.011137348827201600
user_91,100 Thieves Shorts,243245,4580,53.1102620087336,0.007254133176945850
user_84,100% Pure New Zealand,10053,203,49.522167487684700,0.0067627671924601600
user_15,100% Star Wars,338838,5124,66.1276346604216,0.009036776886828940
user_95,100T Call of Duty Shorts,19695,1470,13.3979591836735,0.001815794064261240
user_20,102.7KIISFM,1131359,3037,372.525189331577,0.050995910129224600
user_92,11Alive,277762,21374,12.9953214185459,0.001760655466130000
user_98,12 News,363533,746,487.309651474531,0.06671488852114440
user_30,131 LABEL OFFICIAL,4038417,10118,399.131943071753,0.05463953034848470
user_62,1320video,139020,1293,107.517401392111,0.0147048336669509
user_84,17 Duvy,139868,1906,73.3830010493179,0.010030351673549500
user_98,1804 Jackboy,4696270,53595,87.6251515999627,0.011980720674549300
user_60,1MILLION Dance Studio,3406009,33179,102.655565267187,0.01403903713346580
user_95,1Rod1ReelFishing,187604,3545,52.9207334273625,0.0072281784822110100
user_43,1theK (원더케이),95012962,823110,115.431670129144,0.015788640803759500
user_6,1theK Originals - 원더케이 오리지널,5179075,8261,626.930758988016,0.08583508241399950
user_54,2 Danny 2 Furious,23463469,31810,737.612983338573,0.10099228627639400
user_28,2 Left Thumbs,66061,1027,64.3242453748783,0.00878981456560143
user_62,2020 Democratic National Convention,390507,228358,1.7100648980986,0.00021521368698697100
user_17,20th Century Studios,7950457,1148148,6.92459247414096,0.000929308998857637
user_77,21 Savage,16878647,173330,97.3786822823516,0.013316402657799400
user_69,21SavageVEVO,1314067,16620,79.0654031287605,0.010808519326499900
user_56,22Gz,1052337,15593,67.4877829795421,0.00922304026811685
user_6,23 ABC News | KERO,429697,18676,23.0079781537803,0.0031318230608419500
user_48,24 Frames Of Nick,388062,2079,186.658008658009,0.025542620178393100
user_35,24 Heures du Mans,101533,1457,69.6863417982155,0.009524118462141500
user_83,24KGoldnVEVO,2204592,28588,77.11599272422,0.01054156037183070
user_66,2BCProductions2BC,21496,448,47.9821428571429,0.0065518709314282200
user_10,2ChainzVEVO,724425,15519,46.6798762806882,0.006373534074734880
user_72,2HYPE,5483950,69569,78.8274950049591,0.01077593937109940
user_4,2KBABY,225606,3241,69.6099969145326,0.009513663531617450
user_56,2TONoffical,156408,2473,63.2462596037202,0.008642191492519220
user_13,2e peau,204225,793,257.534678436318,0.03524871471363560
user_25,30deep grimeyy,319864,1559,205.172546504169,0.02807806456613360
user_31,360juice,892313,29718,30.0260111716805,0.004092896600784690
user_62,394th District Court of Texas - Live Stream,2533929,46733,54.2214067147412,0.007406297148427260
user_50,3Blue1Brown,3141562,1038,3026.55298651252,0.414447590056815
user_69,3C Films,315022,11649,27.0428362949609,0.0036843703895621900
user_47,4 News Now,28464,1772,16.0632054176072,0.002180782035439550
user_41,4 Shooters Only,391224,3118,125.472738935215,0.017163699245013000
user_39,42 dugg Music,367801,6846,53.7249488752556,0.007338310507154730
user_15,42DuggVEVO,4858696,76139,63.8134989952587,0.008719871202579060
user_2,442oons,4503220,77249,58.2948646584422,0.007964130466648370
user_25,48 Hours,19680,2731,7.20615159282314,0.000967866671385659
user_80,4baadimh01,1806699,32334,55.8761365745036,0.007632901537422660
user_18,5-Minute Crafts FAMILY,11798534,517061,22.8184566231064,0.0031058693316537900
user_30,50 Cent,5485510,55545,98.7579440093618,0.013505283494795200
user_78,5911 Records,19344980,899105,21.5158185084056,0.0029274815952372400
user_9,5starcaps,304313,2113,144.019403691434,0.019703543202134100
user_86,60 Minutes,5671226,1167815,4.8562708990722,0.0006460659401799180
user_98,60 Minutes Australia,3838289,80191,47.864336396852500,0.0065357381102330700
user_8,6abc Philadelphia,166843,4681,35.6425977355266,0.004862051251032470
user_72,6ix9ine - Topic,538382,38980,13.8117496151873,0.0018724599468233600
user_18,7NEWS Australia,2022895,11160,181.262992831541,0.024803808185749900
user_35,8 News NOW Las Vegas,206666,7876,26.239969527679,0.003574423057572460
user_16,8-BitRyan,3616915,20121,179.758212812484,0.02459773844283740
user_31,888sport,41323,885,46.6926553672316,0.006375284086726870
user_77,88rising,9520500,65998,144.254371344586,0.019735720479387
user_97,9 News Australia,2080084,11929,174.372034537681,0.023860136694865500
user_92,90 Day Fiancé,591684,21853,27.0756417883128,0.0036888628864690700
user_48,9Honey,12535,273,45.9157509157509,0.006268892123412160
user_40,9LILG,544312,16705,32.583777312182,0.004443165878904010
user_83,9NEWS,518080,5700,90.8912280701754,0.012427988401410200
user_24,9lokknine,226165,1592,142.063442211055,0.01943568712064450
user_50,9to5Mac,252006,4159,60.5929309930272,0.008278835561590160
user_84,A Boogie Wit da Hoodie,5097458,25873,197.01843620763,0.026961412702600100
user_22,A Current Affair,368728,2750,134.082909090909,0.018342805511674300
user_76,A Mere Creator,384738,11605,33.1527789745799,0.004521086920386610
user_95,A Sneaker Life,593736,831108,0.714390909484688,7.88626720479749E-05
user_55,A Tribe Called Cars,70780,2157,32.814093648586,0.004474706188869760
user_92,A Walk on the Wild Side,16860,658,25.6231003039514,0.003489946867874080
user_47,A&B Things,2094487,41617,50.3276785928827,0.006873076649164230
user_32,A&E,1383744,38154,36.2673376317031,0.004947605277642260
user_31,A1 x J1,1576606,9731,162.018908642483,0.0221684572167019
user_92,A1xJ1VEVO,197679,1380,143.245652173913,0.01959758301242240
user_14,A24,6671682,60178,110.865798132208,0.015163374614240500
user_6,ABB Formula E,150710,3207,46.9940754599314,0.006416561589235330
user_87,ABBA,1128331,15603,72.3150035249632,0.009884096425282130
user_11,ABC,15256968,157993,96.5673669086605,0.013205298344637200
user_72,ABC 10 News,184806,3146,58.7431659249841,0.008025522381462300
user_97,ABC 7 Chicago,199534,8979,22.22229646954,0.0030242291131339400
user_4,ABC Action News,779566,29914,26.0602393528114,0.0035498101902699000
user_52,ABC News,7598706,866894,8.76543845037571,0.001181400767926950
user_12,ABC News (Australia),427004,21613,19.7568130291954,0.0026865973448537800
user_49,ABC News In-depth,646362,15406,41.9552122549656,0.005726522359534950
user_41,ABC10,155623,10533,14.7748030000949,0.0020043437842784200
user_49,ABC11,24728,1642,15.0596833130329,0.0020433562725521300
user_15,ABC13 Houston,316600,48705,6.50035930602608,0.0008712130520871730
user_63,ABC7,1927541,167929,11.4783092854718,0.0015529106155214400
user_77,ABC7 News Bay Area,1979438,35282,56.1033388129925,0.007664015392126750
user_66,ABKCOVEVO,92851,1756,52.876423690205,0.0072221105546542
user_4,AC Milan,70039,1557,44.9833012202954,0.006141199260277400
user_57,AC/DC,2507405,16114,155.604133052004,0.021289995820331200
user_11,ACC Digital Network,24568,1075,22.8539534883721,0.003110730394272160
user_64,ACG,542092,5527,98.0806947711236,0.01341253865857730
user_55,ACMediaVerse Shorts,349326,6828,51.1608084358524,0.006987168310655790
user_64,ADAM,140895,789,178.574144486692,0.02443558806045810
user_16,ADAM RAY OKAY,58096,1876,30.9680170575693,0.00422189812145136
user_47,ADMAS MUSIC,128437,14926,8.60491759346107,0.001159418490585690
user_98,AEW Games,453770,6425,70.6256809338521,0.00965275478887157
user_16,AEW Music,358628,3767,95.2025484470401,0.013018395417999100
user_50,AFC Asian Cup,867320,4298,201.796184271754,0.02761569392829830
user_88,AFC Bournemouth,147522,79,1867.3670886076,0.25570469279348500
user_7,AFP News Agency,1079241,157399,6.85672081779427,0.0009200144211803140
user_99,AFTV,6280896,294410,21.3338405624809,0.002902560910447740
user_42,AFTV Xtra,23618,462,51.121212121212100,0.0069817458553634000
user_72,AFernandezVEVO,583839,12456,46.8721098265896,0.006399859196600790
user_26,AFunkyDiabetic,24229,443,54.6930022573363,0.007470879061391630
user_20,AGA WORLD,1969,163,12.079754601227,0.001635274602299570
user_35,AJ Correia,201473,15281,13.1845428964073,0.0017865681050556900
user_34,AJ Tracey,699216,6472,108.037082818294,0.014776000625930800
user_23,AJ3,419731,3131,134.056531459598,0.018339193268267200
user_19,AJR,4392571,36104,121.664386217594,0.01664217034676770
